dataset,alpha,seed,rho,target_fnr,defer_budget,defer_rule,gate,human_accuracy,n_banks,n_banks_with_fraud,n_banks_audited,n_banks_fallback_threshold,n_banks_split_ok,defer_frac,miss_rate_audit,miss_rate_policy,coverage_valid_frac,expected_cost,expected_cost_per_txn,aurc,auto_clear_at_recall80,fpr_at_recall80,achieved_recall80,defer_jain,fpr_gap
ulb,0.1,0,2.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.043590907378789255,0.09615384615384616,0.07692307692307693,1.0,1383.5,0.032381509654768874,0.06071630014960506,0.9990871854885898,2.343402151243175e-05,0.7307692307692307,0.9906627598808919,0.082739809274807
ulb,0.1,0,5.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.043590907378789255,0.09615384615384616,0.07692307692307693,1.0,1395.5,0.032662375658279695,0.06074036421511184,0.9990871854885898,2.343402151243175e-05,0.7307692307692307,0.9906627598808919,0.082739809274807
ulb,0.1,0,10.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.043590907378789255,0.09615384615384616,0.07692307692307693,1.0,1415.5,0.03313048566413107,0.06078047099095648,0.9990871854885898,2.343402151243175e-05,0.7307692307692307,0.9906627598808919,0.082739809274807
ulb,0.1,0,20.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.043590907378789255,0.09615384615384616,0.07692307692307693,1.0,1455.5,0.03406670567583382,0.06086068454264575,0.9990871854885898,2.343402151243175e-05,0.7307692307692307,0.9906627598808919,0.082739809274807
ulb,0.1,0,50.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.043590907378789255,0.09615384615384616,0.07692307692307693,1.0,1575.5,0.03687536571094207,0.06110132519771358,0.9990871854885898,2.343402151243175e-05,0.7307692307692307,0.9906627598808919,0.082739809274807
ulb,0.1,1,1.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04647957781761375,0.11538461538461539,0.09615384615384616,0.3333333333333333,2010.5,0.04705785975095965,0.11702452074851581,0.9987360734013669,0.00032808398950131233,0.7692307692307693,0.991650566101808,0.13250020652646827
ulb,0.1,1,2.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04647957781761375,0.11538461538461539,0.09615384615384616,0.3333333333333333,2015.5,0.04717488999157382,0.11720843361749368,0.9987360734013669,0.00032808398950131233,0.7692307692307693,0.991650566101808,0.13250020652646827
ulb,0.1,1,5.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04647957781761375,0.11538461538461539,0.09615384615384616,0.3333333333333333,2030.5,0.04752598071341635,0.11776017222442733,0.9987360734013669,0.00032808398950131233,0.7692307692307693,0.991650566101808,0.13250020652646827
ulb,0.1,1,10.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04647957781761375,0.11538461538461539,0.09615384615384616,0.3333333333333333,2055.5,0.04811113191648722,0.11867973656931675,0.9987360734013669,0.00032808398950131233,0.7692307692307693,0.991650566101808,0.13250020652646827
ulb,0.1,1,20.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04647957781761375,0.11538461538461539,0.09615384615384616,0.3333333333333333,2105.5,0.049281434322628964,0.12051886525909558,0.9987360734013669,0.00032808398950131233,0.7692307692307693,0.991650566101808,0.13250020652646827
ulb,0.1,1,50.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04647957781761375,0.11538461538461539,0.09615384615384616,0.3333333333333333,2255.5,0.05279234154105421,0.12603625132843202,0.9987360734013669,0.00032808398950131233,0.7692307692307693,0.991650566101808,0.13250020652646827
ulb,0.1,2,1.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.04760807992329144,0.17307692307692307,0.11538461538461539,0.0,580.5,0.013586892919836162,0.009330975939298033,0.9992042129900527,0.0,0.6538461538461539,0.9969039181055092,0.005990265818045676
ulb,0.1,2,2.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.04760807992329144,0.17307692307692307,0.11538461538461539,0.0,586.5,0.013727325921591574,0.009339726249317025,0.9992042129900527,0.0,0.6538461538461539,0.9969039181055092,0.005990265818045676
ulb,0.1,2,5.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.04760807992329144,0.17307692307692307,0.11538461538461539,0.0,604.5,0.014148624926857811,0.009365977179374,0.9992042129900527,0.0,0.6538461538461539,0.9969039181055092,0.005990265818045676
ulb,0.1,2,10.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.04760807992329144,0.17307692307692307,0.11538461538461539,0.0,634.5,0.014850789935634875,0.00940972872946896,0.9992042129900527,0.0,0.6538461538461539,0.9969039181055092,0.005990265818045676
ulb,0.1,2,20.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.04760807992329144,0.17307692307692307,0.11538461538461539,0.0,694.5,0.016255119953189,0.009497231829658878,0.9992042129900527,0.0,0.6538461538461539,0.9969039181055092,0.005990265818045676
ulb,0.1,2,50.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.04760807992329144,0.17307692307692307,0.11538461538461539,0.0,874.5,0.020468110005851376,0.009759741130228632,0.9992042129900527,0.0,0.6538461538461539,0.9969039181055092,0.005990265818045676
