strategy,round,bank,auprc,alpha
fednova,18,PaySim-Bank1,0.9034621749453052,0.1
fednova,18,PaySim-Bank2,1.0,0.1
fednova,18,PaySim-Bank3,1.0,0.1
fednova,18,PaySim-Bank4,0.8560151744044484,0.1
fednova,19,PaySim-Bank0,0.8344327269608319,0.1
fednova,19,PaySim-Bank1,0.8640744805729946,0.1
fednova,19,PaySim-Bank2,1.0,0.1
fednova,19,PaySim-Bank3,1.0,0.1
fednova,19,PaySim-Bank4,0.8638551977358538,0.1
fednova,20,PaySim-Bank0,0.783978713397265,0.1
fednova,20,PaySim-Bank1,0.9080454892365115,0.1
fednova,20,PaySim-Bank2,1.0,0.1
fednova,20,PaySim-Bank3,1.0,0.1
fednova,20,PaySim-Bank4,0.8231276603206789,0.1
persfl,1,PaySim-Bank0,0.8296105728010502,0.1
persfl,1,PaySim-Bank1,0.9301258755915878,0.1
persfl,1,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,1,PaySim-Bank3,1.0,0.1
persfl,1,PaySim-Bank4,0.8928672863565664,0.1
persfl,2,PaySim-Bank0,0.9096252032197324,0.1
persfl,2,PaySim-Bank1,0.9535908549350498,0.1
persfl,2,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,2,PaySim-Bank3,1.0,0.1
persfl,2,PaySim-Bank4,0.9085178838310815,0.1
persfl,3,PaySim-Bank0,0.8879249101527212,0.1
persfl,3,PaySim-Bank1,0.9473912455194211,0.1
persfl,3,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,3,PaySim-Bank3,1.0,0.1
persfl,3,PaySim-Bank4,0.8287738088857755,0.1
persfl,4,PaySim-Bank0,0.8784926424073631,0.1
persfl,4,PaySim-Bank1,0.9450648155540162,0.1
persfl,4,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,4,PaySim-Bank3,1.0,0.1
persfl,4,PaySim-Bank4,0.9050247753803387,0.1
persfl,5,PaySim-Bank0,0.8344739539536687,0.1
persfl,5,PaySim-Bank1,0.9396328741027906,0.1
persfl,5,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,5,PaySim-Bank3,1.0,0.1
persfl,5,PaySim-Bank4,0.8959203548694944,0.1
persfl,6,PaySim-Bank0,0.8961719858527684,0.1
persfl,6,PaySim-Bank1,0.9303064241803649,0.1
persfl,6,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,6,PaySim-Bank3,1.0,0.1
persfl,6,PaySim-Bank4,0.9201763142317895,0.1
persfl,7,PaySim-Bank0,0.8942738030574037,0.1
persfl,7,PaySim-Bank1,0.886128829885558,0.1
persfl,7,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,7,PaySim-Bank3,1.0,0.1
persfl,7,PaySim-Bank4,0.9068365638218413,0.1
persfl,8,PaySim-Bank0,0.8787470341766656,0.1
persfl,8,PaySim-Bank1,0.953685865753838,0.1
persfl,8,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,8,PaySim-Bank3,1.0,0.1
persfl,8,PaySim-Bank4,0.9099967461268841,0.1
persfl,9,PaySim-Bank0,0.8779537336917654,0.1
persfl,9,PaySim-Bank1,0.9491022063577553,0.1
persfl,9,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,9,PaySim-Bank3,1.0,0.1
persfl,9,PaySim-Bank4,0.899525946810895,0.1
persfl,10,PaySim-Bank0,0.9059344140124598,0.1
persfl,10,PaySim-Bank1,0.9508594874308504,0.1
persfl,10,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,10,PaySim-Bank3,1.0,0.1
persfl,10,PaySim-Bank4,0.8998360565296332,0.1
persfl,11,PaySim-Bank0,0.8395102423357368,0.1
persfl,11,PaySim-Bank1,0.9188470395138738,0.1
persfl,11,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,11,PaySim-Bank3,0.5,0.1
persfl,11,PaySim-Bank4,0.8812427647878431,0.1
persfl,12,PaySim-Bank0,0.9242810272078865,0.1
persfl,12,PaySim-Bank1,0.9371021627618193,0.1
persfl,12,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,12,PaySim-Bank3,1.0,0.1
persfl,12,PaySim-Bank4,0.9030347141330808,0.1
persfl,13,PaySim-Bank0,0.8568711678750518,0.1
persfl,13,PaySim-Bank1,0.9451931914098524,0.1
persfl,13,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,13,PaySim-Bank3,1.0,0.1
persfl,13,PaySim-Bank4,0.927944706767123,0.1
persfl,14,PaySim-Bank0,0.8496695599928088,0.1
persfl,14,PaySim-Bank1,0.9244123798665904,0.1
persfl,14,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,14,PaySim-Bank3,1.0,0.1
persfl,14,PaySim-Bank4,0.9066410914797691,0.1
persfl,15,PaySim-Bank0,0.8619280693917751,0.1
persfl,15,PaySim-Bank1,0.9358241284608829,0.1
persfl,15,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,15,PaySim-Bank3,1.0,0.1
persfl,15,PaySim-Bank4,0.9074572521635121,0.1
persfl,16,PaySim-Bank0,0.8821353468095249,0.1
persfl,16,PaySim-Bank1,0.957040562914073,0.1
